h1 arriba;h1 abajo;h2;Nombre de la Marca;Telefono;Dirección;Ciudad;email;email2;facebook;Contacto;Tienen Web;NO;Links
NO;NO;NO;Divina vanidad;315 7825450;cra 16 80 94;Bogotá;NO;NO;https://www.facebook.com/pages/Divina-vanidad/1441980666045402?;NO;no;NO;http://joinandenjoy.co/divina-vanidad-231564/
NO;NO;NO;Splendor Centro de Estetica;3214854369 - 3204113972 --- 2157710;Calle 127 No 50-49 ;Bogotá;NO;NO;https://www.facebook.com/pages/Splendor-Centro-de-Estetica/381651421905383?fref=nf;.;no;NO;http://joinandenjoy.co/splendor-centro-de-estetica-159291/
NO;NO;NO;Beauty in Motion / Carolina Serrano;NO;Cra 13 # 118-11;Bogotá;NO;NO;https://www.facebook.com/bellezaenmovimiento/photos_stream;NO;si;http://www.bellezaenmovimiento.com.co/index.php;http://joinandenjoy.co/beauty-in-motion-carolina-serrano-209310/
Laser Estética ;y Salud Ocupacional;NO;Láser Estética y Salud Ocupacional; 215 2015  - 612 0382;Kr 7 #119 - 14, Piso 4, Sala 2, Cons. 405;Bogotá;info@laseresteticaysalud.com.co;NO;NO;NO;si;http://www.laseresteticaysalud.com.co/;NO
Bellissima Beauty;Center;NO;Bellissima Beauty Center; 804 1931 / 310 628 1906 / 312 587 1583 ;Carrera 7 #82- 66, consultorio 204;Bogotá;NO;NO;https://www.facebook.com/bellissimabeautyce;NO;NO;http://www.bellissima.com.co/;NO
Reflections Body;Center;NO;Reflections Body Center; 612 1700 - 481 0046 - 805 3119 - 310 221 6268;Carrera 7 #115-60, of. D 507;Bogotá;NO;NO;https://www.facebook.com/reflections.santabarbara?fref=ts;NO;NO;NO;NO
María Teresa ;NO;Estética Corporal;María Teresa Estética Corporal;348 3747 - 300 305 7298;Calle 53 #21 - 62  local 101;Bogotá;NO;NO;https://www.facebook.com/ESTETICACORPORALMARIATERESA?fref=ts?utm_source=Groupon&utm_medium=LinkSocio;NO;si;http://www.esteticacorporalmariateresa.com/;NO
Spa natural ;NO;medicina estética y spa;Spa natural med estetica y spa; 274 1046 / 304 630 2755;Carrera 16a #140a-06;Bogotá;NO;NO;https://www.facebook.com/pages/Spa-naturalmed/411463412262424?fref=ts?utm_source=Groupon&utm_medium=LinkSocio;NO;si;NO;NO
Pilares Spa;NO;NO;Pilares Spa;703 4202 / 703 5534;Calle 145 # 9-83;Bogotá;agendamientopilares@gmail.com; pilaresspa@gmail.com;https://www.facebook.com/pages/Pilares-Spa/211597725527178?fref=ts;NO;si;http://pilarespa.webs.com/?utm_source=Groupon&utm_medium=LinkSocio;NO
Eco Spa;NO;NO;Eco Spa;7516595 / 7026400 / 3142634223;Calle 25 #37A-24;Bogotá;servicio@ecospa.com.co;NO;NO;NO;si;http://www.ecospa.com.co/?utm_source=Groupon&utm_medium=LinkSocio;NO
Juventud Vital ; Aesthetic;Medical Center;Juventud Vital Aesthetic Medical Center;320 8546409 /3208546429 / 3208546433/ 7953131 ext 6200;Kr 19A;Bogotá;NO;NO;https://www.facebook.com/juventudvital.com.co?utm_source=Groupon&utm_medium=LinkSocio;NO;NO;NO;NO
Splendor ;NO;Medical Spa;Splendor Medical Spa;629 6731 / 300 485 231 / 533 66 95;Calle 112 #70b- 40;Bogotá;info@splendormedical.co;NO;https://www.facebook.com/SplendorMedicalSpa;NO;si;http://www.splendormedical.co/?utm_source=Groupon&utm_medium=LinkSocio;NO
Yellow Zone;NO;NO;Yellow Zone; 300 3940 / 310 561 1516 / 310 852 5235;KR 11 #90-07, local 106;Bogotá;stiloyellowzone@hotmail.com;NO;https://www.facebook.com/PeluqueriaYellowZone?ref=hl;NO;si;http://www.peluqueriayellowzone.com/?utm_source=Groupon&utm_medium=LinkSocio;NO
Bagua Spa;NO;NO;Bagua Spa;3204541214;Ubicado dentro del gimnasio Bodytech Cedritos;Bogotá;baguaspa@gmail.com;NO;https://www.facebook.com/pages/Bagua-Spa-Belleza-Integral/321455668006679?fref=ts;NO;NO;NO;NO
Ángeles ;NO;Estética y peluquería;Angeles Estética y peluquería;2363874- 3044694865;Calle 85 #12 - 10, of. 203;Bogotá;NO;NO;https://www.facebook.com/angelesesteticaypeluqueria?fref=ts;NO;NO;NO;NO
Belut;NO;Medicina Estética;Belut Medicina Estética;802 2352 / 311 560 1229 / 312 556 4527;Av. Cra 9 103 - 86;Bogotá;NO;NO;https://www.facebook.com/belut.centrodeestetica?fref=ts?utm_source=Groupon&utm_medium=LinkSocio;NO;NO;NO;NO
Saman Spa;NO;NO;Saman Spa; 691 3586 / 310 332 4971;Carrera 11B #98-67;Bogotá;info@samanspa.com;NO;https://www.facebook.com/profile.php?id=100009270345068&fref=ts;NO;NO;NO;NO
Ingenmedic S.A.S;NO;NO;Ingenmedic S.A.S;629 7911 / 316 446 3045 / 315 254 8329;Calle 116 #9-72;Bogotá;NO;NO;https://www.facebook.com/IngenmedicMedicinaRegenerativa;NO;NO;NO;NO
Cortes de Fama ;NO;Peluqueria;Cortes de Fama Peluqueria;626 0199;Calle 134 #9-40;Bogotá;cortesdefamapeluqueria@gmail.com;NO;https://www.facebook.com/cortes.peluqueria?fref=ts;NO;NO;NO;NO
Spa Perfectline;NO;NO;Spa Perfectline; 346 1622 / 313 289 2001;Carrera 16 # 53-12;Bogotá;NO;NO;https://www.facebook.com/pages/Perfectline-spa/282580688548009?fref=ts?utm_source=Groupon&utm_medium=LinkSocio;NO;NO;NO;NO
StudioLash;NO;NO;StudioLash;2365621 / 3004124171;Carrera 14,79-47  ;Bogotá;info@studiolashbogota.com;NO;https://www.facebook.com/studiolashbogota;NO;NO;NO;NO
Dr. León ;Vieira Samper; Medicina Alternativa;Dr. León Vieira Samper Medicina Alternativa;2363741 / 314 382 5809 / 3112767866;KR 15 #84-24, Cons. 314;Bogotá;NO;NO;https://www.facebook.com/pages/Medicina-Alternativa-Dr-Le%C3%B3n-Vieira-Samper/142168095829791?utm_source=Groupon&utm_medium=LinkSocio;NO;NO;NO;NO
Carlos Nieto ;Spa;NO;Carlos Nieto Spa; 300 485 2312 / 629 6731 ;Calle 119 #14 - 42;Bogotá;NO;NO;https://www.facebook.com/pages/Carlos-Nieto-Spa/496578007071270?fref=ts?utm_source=Groupon&utm_medium=LinkSocio;NO;NO;NO;NO
Dra. Viviana ;Díaz Bahamón;NO;Dra. Viviana Díaz Bahamón;520 1793 - 316 832 5838;Calle 119 #11-57;Bogotá;NO;NO;https://www.facebook.com/dravivianamedicinaestetica?utm_source=Groupon&utm_medium=LinkSocio;NO;NO;NO;NO
Spa Mediterraneo;NO;NO;Spa Mediterraneo;466 1634 / 466 1635 / 313 326 3710;Carrera 15 #93-75 Consultorio 510;Bogotá;NO;NO;https://www.facebook.com/SpaMediterraneo;NO;NO;NO;NO
Saab Aesthetic;NO;NO;Saab Aesthetic;312 378 2956 / 236 0913 ;Cra. 11 #97-23, Cons. 102;Bogotá;saabestetic@hotmail.com;NO;https://www.facebook.com/pages/Saab-Aesthetic/211627445527296?utm_source=Groupon&utm_medium=LinkSocio;NO;NO;NO;NO
Ecobellisima;NO;NO;Ecobellisima; 310 323 0052 / 311 557 5997;Calle 140 # 7c-10, local 23;Bogotá;NO;NO;https://www.facebook.com/ecobellisima.centrodeestetica;NO;Si;http://ecobellisima.webs.com/?utm_source=Groupon&utm_medium=LinkSocio;NO
Paola Morales; Medicina Estetica;NO;Paola Morales Medicina Estetica;300 809 6559;Avenida Carrera 9 #103A-36 consultorio 304;Bogotá;NO;NO;https://www.facebook.com/DraPaolaMorales;NO;Si;http://www.paolamorales.com.co/contactenos/;NO
Lotus ;NO;Medical Spa;Lotus Medical Spa; 694 2529 Cel. 311 519 6845;Carrera 13 #118 - 28;Bogotá;lotusmedicalspainfo@gmail.com;NO;NO;NO;NO;NO;NO
E&G ;Peluquería;NO;E&G Peluquería;530 3986 / 311 871 8435;Carrera 11 #90-07, local 104, ;Bogotá;NO;NO;https://www.facebook.com/pages/E-Y-G-Peluquer%C3%ADa-Profesional/1484926725086025?sk=info&tab=overview;NO;NO;NO;NO
Esthetic ;NO;Life Solutions;Esthetic Life Solutions; 605 4998 / 313 471 0557 ;Carrera 17 # 52-85, consultorio 201;Bogotá;elifesolutions.gm@gmail.com;NO;https://www.facebook.com/EstethicLifeSolutions?utm_source=Groupon&utm_medium=LinkSocio;NO;NO;NO;NO
María Teresa  ;NO;Estética Corporal;Marría Teresa  Estética Corporal; 348 3747 / 300 305 7298;Calle 53 #21 - 62;Bogotá;maria.teresa.estetica@gmail.com;NO;https://www.facebook.com/ESTETICACORPORALMARIATERESA?fref=ts?utm_source=Groupon&utm_medium=LinkSocio;NO;NO;NO;NO
Biorelax; Health Spa;NO;Biorelax Health Spa; 801 2616 / 317 693 5343;Calle 127 #50-31;Bogotá;info@biorelaxhealthspa.com;NO;https://www.facebook.com/pages/Biorelax-health-spa/164753837030258?fref=ts;NO;NO;NO;NO
Body SPA ;NO;Colombia;body spa colombia;466 1178 / 314 394 6270;Carrera 13 #118a - 24;Bogotá;NO;NO;NO;NO;NO;NO;NO
Shamma Spa;NO;NO;Shamma Spa;523 1620 / 320 358 0048;Calle 127B Bis 51A-68;Bogotá;NO;NO;https://www.facebook.com/shamma.spa?utm_source=Groupon&utm_medium=LinkSocio;NO;NO;NO;NO
